agent,agent_preference,num_connections,agent_connections,influence_status
30,another friendly reminder to vaccinate your kids wear a mask don t be racist and don t support d nald tr mp,28,"[16, 14, 60, 62, 19, 63, 17, 37, 7, 77, 67, 61, 32, 73, 86, 20, 5, 27, 95, 54, 98, 38, 100, 55, 9, 97, 75, 15]",False
31,please mask up and maintain social distance people,6,"[48, 84, 2, 96, 34, 19]",False
32,was behind a guy at eleven who was wearing his welders mask he could have just said i forgot it when he didn t have a face mask but instead he put others first you know what you call a person like that a patriot,27,"[40, 63, 98, 93, 45, 13, 73, 71, 62, 30, 59, 86, 79, 16, 77, 12, 54, 72, 85, 42, 38, 44, 49, 47, 2, 58, 95]",False
33,hr sent out an email saying those of us who s fully vaxxed w proof can go maskless again in the office yea i m good i m still wearing my mask,11,"[65, 91, 4, 25, 23, 46, 1, 59, 58, 2, 9]",False
34,as encouraging as this news is please remember that this new cdc guideline still calls for wearing masks in federal facilities including airports mask wearing vaccinated or not is still required at syr and all u s airports,8,"[82, 42, 100, 43, 68, 4, 32, 76]",False
35,nurse from last week thank you kira remember folks wear a mask wash your hands and stay home trying to pretend there is no problem is not a solution portland oregon,20,"[71, 79, 78, 81, 96, 53, 41, 94, 51, 45, 21, 18, 63, 48, 76, 56, 6, 85, 88, 8]",False
36,my favorite thing to do when i see people not wearing a mask is cough as hard as i can right in front of them because the fear in their eyes is always so rewarding,15,"[79, 87, 4, 21, 46, 80, 42, 54, 25, 60, 95, 2, 8, 74, 70]",False
37,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,8,"[88, 83, 17, 73, 22, 78, 21, 91]",False
38,this month i personally know people that have gotten covid one of them past away this week please wear a mask,20,"[49, 32, 79, 28, 76, 100, 80, 21, 13, 39, 37, 74, 17, 60, 61, 98, 6, 70, 66, 16]",False
39,don t go to a party with a house full of ppl not wasting mask during a pandemic,3,"[90, 21, 64]",False
40,continuing to mask up and distance reduces the transmission of the virus and if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,18,"[34, 50, 27, 25, 26, 60, 58, 77, 73, 96, 3, 45, 94, 33, 49, 75, 4, 98]",False
41,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,28,"[51, 70, 84, 1, 82, 25, 2, 86, 87, 47, 3, 43, 14, 92, 79, 13, 39, 32, 94, 68, 17, 35, 26, 99, 91, 64, 40, 21]",False
42,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,7,"[95, 40, 53, 11, 45, 51, 50]",False
43,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,7,"[7, 22, 75, 63, 34, 16, 25]",False
44,thanks ctl stay safe friends and wear mask if need to go out,17,"[46, 38, 86, 42, 69, 57, 75, 84, 60, 29, 73, 76, 87, 18, 78, 48, 85]",False
45,mask protect other people he only cares about himself,14,"[73, 67, 87, 6, 76, 78, 98, 39, 17, 92, 85, 59, 38, 19]",False
46,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,16,"[57, 89, 44, 75, 3, 33, 10, 15, 34, 99, 92, 20, 70, 12, 52, 23]",False
47,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,8,"[5, 26, 8, 82, 51, 33, 59, 95]",False
48,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,3,"[61, 70, 30]",False
49,a special shout out goes to mr londono and ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,18,"[42, 86, 3, 71, 79, 30, 78, 8, 98, 77, 14, 51, 70, 59, 29, 13, 17, 19]",False
50,I lose a mask at least four times a day. This whole thing is a scam.,16,"[51, 7, 73, 86, 21, 71, 20, 57, 37, 89, 32, 33, 59, 63, 11, 42]",False
51,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",9,"[96, 37, 55, 40, 21, 57, 53, 39, 85]",False
52,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",30,"[100, 15, 95, 6, 77, 76, 39, 1, 5, 22, 61, 85, 59, 43, 32, 58, 31, 14, 35, 83, 87, 24, 16, 29, 8, 38, 79, 30, 55, 89]",False
53,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,27,"[99, 29, 11, 55, 47, 34, 92, 49, 93, 37, 31, 13, 35, 44, 7, 25, 54, 1, 87, 8, 90, 38, 20, 23, 16, 17, 6]",False
54,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,5,"[90, 60, 45, 3, 25]",False
55,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,17,"[82, 43, 60, 19, 76, 11, 91, 59, 18, 83, 24, 37, 50, 75, 70, 58, 62]",False
