agent,agent_preference,num_connections,agent_connections,influence_status
41,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,14,"[8, 2, 4, 18, 7, 45, 12, 35, 19, 27, 30, 25, 24, 29]",False
42,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",15,"[32, 6, 28, 3, 13, 8, 39, 9, 15, 33, 36, 47, 50, 2, 21]",True
43,thanks ctl stay safe friends and wear mask if need to go out,14,"[38, 33, 11, 6, 27, 29, 8, 34, 49, 14, 31, 1, 47, 50]",False
44,if hes going to be stupid enough not to wear a mask then he deserves what he gets hopefully he doesn t infect anyone else,9,"[16, 11, 20, 19, 8, 31, 40, 15, 43]",False
45,i stay home other than the ride to chemo amp when we stop for gas i sit in the car cussing all the non mask wearers do they not care who they may have already killed or may kill i m fighting for my life with st breast cancer don t kill me with covid i want the vaccine,4,"[20, 11, 23, 2]",False
46,mask protect other people he only cares about himself,7,"[13, 47, 37, 32, 2, 7, 20]",False
47,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,6,"[49, 33, 21, 7, 13, 50]",False
48,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,7,"[34, 28, 13, 43, 4, 23, 50]",False
49,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,14,"[13, 4, 3, 32, 48, 18, 6, 26, 34, 37, 33, 15, 40, 45]",False
50,i did this with one lone mask less man in a ballot recount center,7,"[9, 38, 47, 18, 13, 41, 21]",False
51,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",15,"[47, 46, 14, 31, 22, 44, 37, 38, 10, 13, 19, 28, 18, 24, 7]",True
