agent,agent_preference,num_connections,agent_connections,influence_status
32,was behind a guy at eleven who was wearing his welders mask he could have just said i forgot it when he didn t have a face mask but instead he put others first you know what you call a person like that a patriot,13,"[27, 66, 57, 96, 67, 58, 62, 100, 19, 98, 59, 95, 60]",False
33,hr sent out an email saying those of us who s fully vaxxed w proof can go maskless again in the office yea i m good i m still wearing my mask,5,"[2, 37, 45, 75, 8]",False
34,as encouraging as this news is please remember that this new cdc guideline still calls for wearing masks in federal facilities including airports mask wearing vaccinated or not is still required at syr and all u s airports,17,"[14, 54, 2, 81, 24, 52, 83, 87, 10, 92, 82, 49, 67, 65, 38, 71, 22]",False
35,nurse from last week thank you kira remember folks wear a mask wash your hands and stay home trying to pretend there is no problem is not a solution portland oregon,17,"[48, 94, 22, 25, 92, 23, 39, 20, 5, 100, 62, 14, 51, 8, 77, 58, 10]",False
36,my favorite thing to do when i see people not wearing a mask is cough as hard as i can right in front of them because the fear in their eyes is always so rewarding,30,"[41, 46, 83, 35, 87, 2, 96, 76, 32, 11, 49, 24, 73, 55, 80, 69, 78, 40, 25, 5, 8, 63, 60, 38, 94, 6, 66, 58, 53, 67]",False
37,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,19,"[29, 42, 97, 45, 5, 81, 30, 43, 20, 24, 6, 74, 89, 64, 47, 96, 98, 71, 88]",False
38,this month i personally know people that have gotten covid one of them past away this week please wear a mask,6,"[37, 21, 94, 63, 62, 11]",False
39,don t go to a party with a house full of ppl not wasting mask during a pandemic,2,"[90, 30]",False
40,continuing to mask up and distance reduces the transmission of the virus and if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,12,"[45, 87, 99, 14, 86, 34, 78, 90, 29, 63, 39, 55]",False
41,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,28,"[43, 56, 47, 48, 20, 93, 3, 62, 16, 35, 42, 37, 6, 11, 1, 98, 91, 39, 59, 32, 89, 45, 8, 13, 97, 21, 40, 94]",False
42,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,1,[48],False
43,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,10,"[54, 33, 74, 9, 18, 91, 11, 29, 82, 2]",False
44,thanks ctl stay safe friends and wear mask if need to go out,4,"[27, 64, 38, 74]",False
45,mask protect other people he only cares about himself,27,"[76, 95, 57, 74, 39, 90, 87, 86, 81, 17, 27, 64, 82, 22, 26, 67, 94, 52, 79, 40, 2, 1, 35, 38, 89, 7, 100]",False
46,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,3,"[65, 54, 73]",False
47,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,28,"[50, 1, 77, 12, 17, 78, 64, 88, 54, 28, 29, 94, 8, 91, 49, 15, 19, 60, 69, 58, 100, 39, 52, 86, 20, 33, 4, 59]",False
48,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,28,"[76, 83, 6, 45, 64, 88, 36, 42, 49, 51, 56, 30, 12, 39, 58, 20, 87, 23, 11, 65, 50, 53, 97, 63, 28, 89, 1, 43]",False
49,a special shout out goes to mr londono and ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,12,"[8, 53, 4, 85, 58, 94, 47, 62, 95, 30, 89, 72]",False
